Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
chandelierLight_player,blocks,Block,,,[4DFF00]Hanging Chandelier®[-],,,,,,,,,,,,,,
chandelierLight2x2_player,blocks,Block,,,[4DFF00]Hanging Chandelier 2x2®[-],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
rusticDefense,blocks,block,,,[4DFF00]Rustic Defenses®[-],,,,,,,,,,,,,,
rusticStructures,blocks,block,,,[4DFF00]Rustic Structures®[-],,,,,,,,,,,,,,
rusticCollectionDesc,blocks,Variant,,,"Prefect for a quick base. Until the zombies break through, then there's just a lot of screaming.",,,,,,,,,,,,,,
rustic_doorWoodLargeGate,blocks,block,,,[4DFF00]Large Rustic Gate®[-],,,,,,,,,,,,,,
rustic_logWallLeft,blocks,block,,,[4DFF00]Rustic Wall: Left®[-],,,,,,,,,,,,,,
rustic_logWallRight,blocks,block,,,[4DFF00]Rustic Wall: Right®[-],,,,,,,,,,,,,,
rustic_logWallLeftSpikes,blocks,block,,,[4DFF00]Spiked Rustic Wall: Left®[-],,,,,,,,,,,,,,
rustic_logWallRightSpikes,blocks,block,,,[4DFF00]Spiked Rustic Wall: Right®[-],,,,,,,,,,,,,,
rustic_banditPlatform2x2A,blocks,block,,,[4DFF00]Rustic Platform 2x2®[-],,,,,,,,,,,,,,
rustic_banditPlatform3x2A,blocks,block,,,[4DFF00]Rustic Platform 3x2®[-],,,,,,,,,,,,,,
rustic_banditPlatform3x3A,blocks,block,,,[4DFF00]Rustic Platform 3x3A®[-],,,,,,,,,,,,,,
rustic_banditPlatform3x3B,blocks,block,,,[4DFF00]Rustic Platform 3x3B®[-],,,,,,,,,,,,,,
rustic_banditPlatformSheet3x2A,blocks,block,,,[4DFF00]Rustic Sheet Platform 3x2®[-],,,,,,,,,,,,,,
rustic_banditPlatformSheet3x3A,blocks,block,,,[4DFF00]Rustic Sheet Platform 3x3A®[-],,,,,,,,,,,,,,
rustic_banditPlatformSheet3x3B,blocks,block,,,[4DFF00]Rustic Sheet Platform 3x3B®[-],,,,,,,,,,,,,,
rustic_banditRamp2x2A,blocks,block,,,[4DFF00]Rustic Ramp 2x2®[-],,,,,,,,,,,,,,
rustic_banditRamp3x2A,blocks,block,,,[4DFF00]Rustic Ramp 3x2®[-],,,,,,,,,,,,,,
rustic_banditRamp3x3A,blocks,block,,,[4DFF00]Rustic Ramp 3x3®[-],,,,,,,,,,,,,,
rustic_banditRampSheet2x2A,blocks,block,,,[4DFF00]Rustic Sheet Ramp 2x2®[-],,,,,,,,,,,,,,
rustic_banditRampSheet3x2A,blocks,block,,,[4DFF00]Rustic Sheet Ramp 3x2®[-],,,,,,,,,,,,,,
rustic_banditRampSheet3x3A,blocks,block,,,[4DFF00]Rustic Sheet Ramp 3x3®[-],,,,,,,,,,,,,,
rustic_banditSupport1m,blocks,block,,,[4DFF00]Rustic Support 1m®[-],,,,,,,,,,,,,,
rustic_banditSupport2m,blocks,block,,,[4DFF00]Rustic Support 2m®[-],,,,,,,,,,,,,,
rustic_banditSupport3m,blocks,block,,,[4DFF00]Rustic Support 3m®[-],,,,,,,,,,,,,,
rustic_banditSupport3x1A,blocks,block,,,[4DFF00]Rustic Fence A®[-],,,,,,,,,,,,,,
rustic_banditSupport3x1B,blocks,block,,,[4DFF00]Rustic Fence B®[-],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 * * * * TEH POIs * * * *,,,,,,,,,,,,,,,,,,,
NotreDamn_mini_V3.0,POI,POIName,,x,[4DFF00]Notre Damn[-],,,,,,,,,,,,,,
Lotus_V3.0,POI,POIName,,x,[4DFF00]Hub[-],,,,,,,,,,,,,,
pitV3.0_mini,POI,POIName,,x,[4DFF00]Pit[-],,,,,,,,,,,,,,
armyprison_V3.0,POI,POIName,,x,[4DFF00]Prison[-],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 * * * * TEH DYE MODIFIERS * * * * ,,,,,,,,,,,,,,,,,,,
modDyeTehBlue,item_modifiers,item_modifier,,,[4DFF00]Teh Blue Dye®,,,,,,,,,,,,,,
modDyeTehPink,item_modifiers,item_modifier,,,[4DFF00]Teh Pink Dye®,,,,,,,,,,,,,,
modDyeTehPurple,item_modifiers,item_modifier,,,[4DFF00]Teh Purple Dye®,,,,,,,,,,,,,,
modDyeTehYellow,item_modifiers,item_modifier,,,[4DFF00]Teh Yellow Dye®,,,,,,,,,,,,,,
modDyeTehOrange,item_modifiers,item_modifier,,,[4DFF00]Teh Orange Dye®,,,,,,,,,,,,,,
modDyeTehGreen,item_modifiers,item_modifier,,,[4DFF00]Teh Green Dye®,,,,,,,,,,,,,,
modDyeTehBlack,item_modifiers,item_modifier,,,[4DFF00]Teh Black Dye®,,,,,,,,,,,,,,
modDyeTehTeal,item_modifiers,item_modifier,,,[4DFF00]Teh Teal Dye®,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 * * * * VANILLA PROGRESSION * * * * ,,,,,,,,,,,,,,,,,,,
perkAdvancedEngineeringRank1LongDesc,progression,perk Int,,,"You are now out of the stone age and an apprentice Engineer!\n\nGain 15% XP from electrical trap kills. Items craft 20% faster at the forge. Craft glue cheaper.\n\nYou can now craft: [4DFF00]Wooden Single Doors®[-], [4DFF00]Misc. Doors®[-] and [4DFF00]Working Lights®[-].",,Du hast die Steinzeit hinter dir gelassen und bist ein Ingenieurlehrling!\nErhalte 15 % EP für Tötungen mit elektrischen Fallen.\nGegenstände werden in der Schmiede 20 % schneller hergestellt.\nStelle Kleber günstiger her.,¡Ahora saliste de la edad de piedra y estás aprendiendo ingeniería!\nObtén un 15 % de EXP de las muertes por trampas eléctricas.\nLos objetos se fabrican un 20 % más rápido en la fragua.\nFabrica pegamento a un menor costo.,"Fini l'âge de pierre, bonjour l'ingénierie !\nLes victimes dues aux pièges électriques vous rapportent 15 % d'EXP.\nVous fabriquez des objets 20 % plus rapidement à la forge.\nLa colle coûte moins cher à fabriquer.",Hai ormai abbandonato l'età della pietra e sei un apprendista ingegnere!\nGuadagni il 15% di PE dalle uccisioni con trappole elettrificate.\nLa creazione di oggetti è più veloce del 20% nella fucina.\nCrei colla in modo più economico.,あなたは今、石器時代から抜け出し、エンジニアの見習いとなったのです！\n電気トラップでキルすると15%の経験値を獲得。\n炉でのアイテムクラフト速度が20%速くなります。\n接着剤のクラフトが安くなります。,이제 구석기 시대에서 벗어나 견습생이 되었습니다!\n전기 트랩으로 처치 시 XP를 15% 얻습니다.\n대장간에서 아이템 제작 시 속도가 20% 빨라집니다.\n풀을 더 저렴한 비용에 제작합니다.,Awansujesz do stopnia początkującego inżyniera!\nZdobywaj 15% PD za zabójstwa elektryczną pułapką.\nPrzedmioty są wytwarzane 20% szybciej w kuźni.\nWytwarzaj klej taniej.,Você acaba de sair da idade da pedra e tornar-se aprendiz de engenharia!\nGanhe 15% de EXP em mortes de armadilhas elétricas.\nOs itens são fabricados 20% mais rápido na forja.\nFabricação de cola custa menos.,Наконец-то вы из пещерного человека превратились в начинающего инженера!\nЗа убийства с помощью электроловушек вы получаете 15% опыта.\nИзготовление предметов с помощью кузницы на 20% быстрее.\nИзготовление клея обходится дешевле.,Artık taş devrinden çıktın ve çırak Mühendis oldun!\nElektrikli tuzakla öldürmelerden %15 daha fazla DP kazan.\nDemirci ocağında %20 daha hızlı öğe üret.\nYapıştırıcıyı daha ucuza üret.,你已脱离石器时代，成为了一名工程师学徒！\n电力陷阱击杀给予15%经验值。\n在锻造炉制作物品的速度提高20%。\n制作胶水更便宜。,恭喜你脫離石器時代，成為了一名工程師學徒！\n從電陷阱殺敵數獲得 15% 的經驗值。\n鍛造爐製作速度增加 20%。\n製作膠水更便宜。,
perkAdvancedEngineeringRank2LongDesc,progression,perk Int,,,The long hours tinkering on projects is starting to pay dividends!\nGain 30% XP from electrical trap kills. Items craft 20% faster at workbenches and cement mixers.\n\nYou can now craft: [4DFF00]Wooden Double Doors®[-] and [4DFF00]Working Lights Plus®[-].,,Das stundenlange Tüfteln an Projekten zahlt sich langsam aus!\nErhalte 30 % EP für Tötungen mit elektrischen Fallen.\nAn Werkbänken und Betonmischern werden Gegenstände 20 % schneller hergestellt.,¡Las largas horas ajustando proyectos comienzan a dar dividendos!\nObtén un 30 % de EXP de las muertes por trampas eléctricas.\nLos objetos se fabrican un 20 % más rápido en las mesas de trabajo y las hormigoneras.,Les longues heures passées à bricoler sur différents projets finissent par payer !\nLes victimes dues aux pièges électriques vous rapportent 30 % d'EXP.\nVous fabriquez des objets 20 % plus rapidement aux établis et aux bétonnières.,Le lunghe ore passate trafficando con progetti cominciano a dare i loro frutti!\nGuadagni il 30% di PE dalle uccisioni con trappole elettrificate.\nLa creazione di oggetti è più veloce del 20% nelle postazioni di lavoro e nelle betoniere.,長時間のプロジェクトいじりが功を奏しているようです！\n電気トラップでキルすると30%の経験値を獲得。\n作業場とセメントミキサーでのアイテムクラフト速度が20%速くなります。,오랜 시간 사부작거리며 뭔가 만든 보람이 있군요!\n전기 트랩으로 처치 시 XP를 30% 얻습니다.\n작업대 및 시멘트 믹서에서 아이템 제작 시 속도가 20% 빨라집니다.,Długie godziny spędzone nad projektami zwróciły się!\nZdobywaj 30% PD za zabójstwa elektryczną pułapką.\nPrzedmioty są wytwarzane 20% szybciej przy warsztatach i w betoniarkach.,As longas horas matutando em projetos estão começando a render!\nGanhe 30% de EXP em mortes de armadilhas elétricas.\nOs itens são fabricados 20% mais rápido em bancadas e betoneiras.,Длительная работа с проектами начинает приносить плоды!\nЗа убийства с помощью электроловушек вы получаете 30% опыта.\nИзготовление предметов с помощью верстаков и бетономешалок на 20% быстрее.,Projeler için onlarca saat kafa yürütmenin ödüllerini almaya başlıyorsun!\nElektrikli tuzakla öldürmelerden %30 daha fazla DP kazan.\nÇalışma tezgâhlarında ve çimento mikserlerinde %20 daha hızlı öğe üret.,长时间的物品修补终于开始带来回报！\n电力陷阱击杀给予30%经验值。\n在工作台和水泥搅拌机上的制作速度提高20%。,漫長的學習終於見效了！\n從電陷阱殺敵數獲得 30% 的經驗值。\n工作臺、水泥攪拌機製作速度增加 20%。,
perkAdvancedEngineeringRank3LongDesc,progression,perk Int,,,"You really know your way around the workshop and can build about anything you set your mind to!\nGain 45% XP from electrical trap kills. All forge recipes cost 10% less, crafting Forged Steel and electrical devices costs 15% less.\n\nYou can now craft: [4DFF00]Metal Single Doors®[-].",,"Du kennst dich in der Werkstatt wirklich aus und kannst alles bauen, was du dir in den Kopf setzt!\nErhalte 45 % EP für Kills mit elektrischen Fallen.\nAlle Rezepte für die Schmiede kosten 10 % weniger, das Fertigen von geschmiedetem Stahl und elektrischen Geräten kostet 15 % weniger.","¡Sabes manejarte muy bien en la mesa de trabajo y puedes construir todo lo que te propongas!\nObtén un 45 % de EXP de las muertes por trampas eléctricas.\nTodas las recetas de fragua cuestan un 10 % menos, la elaboración de acero forjado y los dispositivos eléctricos cuestan un 15 % menos.",Vous êtes à l'aise à l'atelier et pouvez fabriquer à peu près n'importe quoi si vous vous appliquez !\nLes victimes dues aux pièges électriques vous rapportent 45 % d'EXP.\nToutes les compositions de forge coûtent 10 % moins cher. L'acier forgé et les appareils électriques coûtent 15 % moins cher.,"Ci sai davvero fare nell'officina e puoi costruire bene o male qualsiasi cosa decidi di costruire!\nGuadagni il 45% di PE dalle uccisioni con trappole elettrificate.\nTutte le ricette della fucina costano il 10% in meno, la fabbricazione di lingotti d'acciaio e dispositivi elettrici costa il 15% in meno.",あなたは作業場のことは熟知しており、思いついたものは何でも作ることができます！\n電気トラップでキルすると45%の経験値を獲得。\n全ての鍛造レシピが10%安くなり、 鍛鋼と電気デバイスのクラフトコストが15%下がります。,"당신은 작업장에 대해 잘 알며 뭐든 원하는 걸 만들 수 있습니다!\n전기 트랩 처치 시 XP를 45% 얻습니다.\n대장간 레시피의 비용은 15% 감소하고, 제련한 강철 및 전기 기기 제작 비용은 10% 감소합니다.","Czujesz się w warsztacie jak ryba w wodzie i potrafisz zbudować, co tylko zechcesz!\nZdobywaj 45% PD za wrogów zabitych przez pułapki elektryczne.\nWytwarzanie wszystkich przepisów w kuźni kosztuje 10% mniej, a wytwarzanie kutej stali i urządzeń elektrycznych – 15% mniej.",Você realmente conhece a oficina e pode construir tudo que imaginar!\nGanhe 45% de EXP com abates de armadilhas elétricas.\nTodas as receitas da forja custam 10% a menos e a fabricação de aço fundido e de dispositivos elétricos custa 15% menos.,"В мастерской вы чувствуете себя как дома, и можете изготовить всё, что душе угодно!\nЗа убийства с помощью электроловушек вы получаете 45% очков опыта.\nВсе рецепты кузницы стоят на 10% дешевле, изготовление кованой стали и электроприборов стоит на 15% дешевле.","Atölyede neler yapacağını gayet iyi biliyorsun ve artık aklına gelen her şeyi üretebilirsin!\nElektrikli tuzakla öldürmelerden %45 daha fazla DP kazan.\nTüm demirci ocağı tariflerinin maliyeti %10, Dövme Çelik ve elektrikli cihaz üretme maliyeti %15 azalır.",你对工坊了如指掌，几乎可以制作出心中所想的一切！\n电力陷阱击杀给予45%经验值。\n所有锻造炉配方的成本减少10%，制作锻钢与电力装置的成本减少15%。,你成為了工作坊的靈魂人物，可以將腦海中的所有藍圖付諸實踐！\n從電陷阱殺敵數獲得 45% 的經驗值。\n所有鍛造爐配方消耗減少 10%，製作鍛鋼和電氣裝置消耗減少 15%。,
perkAdvancedEngineeringRank4LongDesc,progression,perk Int,,,"You are the da Vinci of the apocalypse with all your amazing inventions!\nGain 60% XP from electrical trap kills. All forge recipes cost 15% less, crafting Forged Steel and electrical devices costs 25% less.\n\nYou can now craft: [4DFF00]Metal Double Doors®[-].",,"Du bist der da Vinci der Apokalypse mit all deinen erstaunlichen Erfindungen!\nErhalte 60 % EP für Kills mit elektrischen Fallen.\nAlle Rezepte für die Schmiede kosten 15 % weniger, das Fertigen von geschmiedetem Stahl und elektrischen Geräten kostet 25 % weniger.","¡Eres el da Vinci del apocalipsis con todas tus increíbles invenciones!\nObtén un 60 % de EXP de las muertes por trampas eléctricas.\nTodas las recetas de fragua cuestan un 15 % menos, la elaboración de acero forjado y los dispositivos eléctricos cuestan un 25 % menos.",Vous êtes le da Vinci de l'apocalypse avec toutes vos inventions incroyables !\nLes victimes dues aux pièges électriques vous rapportent 60 % d'EXP.\nToutes les compositions de forge coûtent 15 % moins cher. L'acier forgé et les appareils électriques coûtent 25 % moins cher.,"Sei il da Vinci dell'apocalisse, con tutte le tue incredibili invenzioni!\nGuadagni il 60% di PE dalle uccisioni con trappole elettrificate.\nTutte le ricette della fucina costano il 15% in meno, la fabbricazione di lingotti d'acciaio e dispositivi elettrici costa il 25% in meno.",あなたは素晴らしい発明をした黙示録のダ・ヴィンチなのです！\n電気トラップでキルすると60%の経験値を獲得。\n全ての鍛造レシピが15%安くなり、 鍛鋼と電気デバイスのクラフトコストが25%下がります。,"당신은 아포칼립스 시대의 다빈치이자 놀라운 발명가입니다!\n전기 트랩 처치 시 XP를 60% 얻습니다.\n대장간 레시피의 비용은 15% 감소하고, 제련한 강철 및 전기 기기 제작 비용은 25% 감소합니다.","Jesteś prawdziwym da Vincim apokalipsy – masz na koncie mnóstwo niesamowitych wynalazków!\nZdobywaj 60% PD za wrogów zabitych przez pułapki elektryczne.\nWytwarzanie przepisów w kuźni kosztuje 15% mniej, a wytwarzanie kutej stali i urządzeń elektrycznych – 25% mniej.","Você está parecendo Da Vinci, com todas essas invenções incríveis!\nGanhe 60% de EXP com abates de armadilhas elétricas.\nTodas as receitas da forja custam 15% menos e a fabricação de aço fundido e de dispositivos elétricos custa 25% menos.","С такими удивительными изобретениями вы — просто апокалиптический Леонардо да Винчи!\nЗа убийства с помощью электроловушек вы получаете 60% очков опыта.\nВсе рецепты кузницы стоят на 15% дешевле, изготовление кованой стали и электроприборов стоит на 25% дешевле.","İnanılmaz icatlarınla bu devrin Da Vinci'si oldun!\nElektrikli tuzakla öldürmelerden %60 daha fazla DP kazan.\nTüm demirci ocağı tariflerinin maliyeti %15, Dövme Çelik ve elektrikli cihaz üretme maliyeti %25 azalır.",各种神奇的发明使你成为了末日时代的达芬奇！\n电力陷阱击杀给予60%经验值。\n所有锻造炉配方的成本减少15%，制作锻钢与电力装置的成本减少25%。,你創造出無數宏偉的工藝品，可謂是末日達文西！\n從電陷阱殺敵數獲得 60% 的經驗值。\n所有鍛造爐配方消耗減少 15%，製作鍛鋼和電氣裝置消耗減少 25%。,
perkAdvancedEngineeringRank5LongDesc,progression,perk Int,,,"You are now an Advanced Engineer and would make MacDyver jealous.\nGain 75% XP from electrical trap kills. All forge recipes cost 20% less, crafting Forged Steel and electrical devices costs 35% less.\n\nYou can now craft: [4DFF00]Industrial Mixer®[-] and [4DFF00]Security Gates®[-]",,"Du bist jetzt ein fortgeschrittener Ingenieur und würdest MacDyver neidisch machen.\nErhalte 75 % EP für Tötungen mit elektrischen Fallen.\nAlle Rezepte für die Schmiede kosten 20 % weniger, das Fertigen von geschmiedetem Stahl und elektrischen Geräten kostet 35 % weniger.","¡Ahora sabes ingeniería avanzada y harías que MacDyver se ponga celoso!\nObtén un 75 % de EXP de las muertes por trampas eléctricas.\nTodas las recetas de fragua cuestan un 20 % menos, la elaboración de acero forjado y los dispositivos eléctricos cuestan un 35 % menos.",Vos connaissances en ingénierie avancée rendraient MacDyver jaloux.\nLes victimes dues aux pièges électriques vous rapportent 75 % d'EXP.\nToutes les compositions de forge coûtent 20 % moins cher. L'acier forgé et les appareils électriques coûtent 35 % moins cher.,"Ormai sei un ingegnere avanzato, e renderesti invidioso MacDyver.\nGuadagni il 75% di PE dalle uccisioni con trappole elettrificate.\nTutte le ricette della fucina costano il 20% in meno, la fabbricazione di lingotti d'acciaio e dispositivi elettrici costa il 35% in meno.",あなたは今、マクダイバーが嫉妬するほどの上級エンジニアです。\n電気トラップでキルすると75%の経験値を獲得。\n全ての鍛造レシピが20%安くなり、 鍛鋼と電気デバイスのクラフトコストが35%下がります。,"당신은 이제 상급 엔지니어로 맥다이버가 질투할 수준에 도달했습니다.\n전기 트랩 처치 시 XP를 75% 얻습니다.\n대장간 레시피의 비용은 20% 감소하고, 제련한 강철 및 전기 기기 제작 비용은 35% 감소합니다.","Jesteś teraz zaawansowanym inżynierem – MacDyver zzieleniałby z zazdrości.\nZdobywaj 75% PD za wrogów zabitych przez pułapki elektryczne.\nWytwarzanie przepisów w kuźni kosztuje 20% mniej, a wytwarzanie kutej stali i urządzeń elektrycznych – 35% mniej.",Você agora é um Engenheiro avançado e deixaria o MacDyver morrendo de inveja.\nGanhe 75% de EXP com abates de armadilhas elétricas.\nTodas as receitas da forja custam 20% menos e a fabricação de aço fundido e de dispositivos elétricos custam 35% menos.,"Теперь вы — ведущий инженер, и вашей изобретательности позавидует сам Макдайвер!\nЗа убийства с помощью электроловушек вы получаете 75% очков опыта.\nВсе рецепты кузницы стоят на 20% дешевле, изготовление кованой стали и электроприборов стоит на 35% дешевле.","Artık Gelişmiş Mühendis oldun ve MacDyver'ı bile kıskandıracak durumdasın.\nElektrikli tuzakla öldürmelerden %75 daha fazla DP kazan.\nTüm demirci ocağı tariflerinin maliyeti %20, Dövme Çelik ve elektrikli cihaz üretme maliyeti %35 azalır.",你已成为高级工程师，足以让麦克戴弗嫉妒得眼睛发绿。\n电力陷阱击杀给予75%经验值。\n所有锻造炉配方的成本减少20%，制作锻钢与电力装置的成本减少35%。,你已經成為 MacDyver 都望塵莫及的高級工程師。\n從電陷阱殺敵數獲得 75% 的經驗值。\n所有鍛造爐配方消耗減少 20%，製作鍛鋼和電氣裝置消耗減少 35%。,
perkPackMuleRank1LongDesc,progression,perk Str,,,Who has time to organize their stuff perfectly? Carry three more items without being encumbered.\n\nYou can now craft: [4DFF00]Wood Crate®[-].,,"Wer hat schon Zeit, das ganze Zeug schön zu ordnen? Du kannst drei Gegenstände mehr tragen, bevor du überbelastet wirst.",¿Quién tiene tiempo para organizar sus cosas perfectamente? Lleva tres artículos más sin desbordarte.,Qui a le temps de ranger toutes ses affaires à la perfection ? Vous portez trois objets supplémentaires sans souffrir d'encombrement.,Chi ha tempo di organizzare le proprie cose alla perfezione? Trasporta 3 oggetti in più senza diventare sovraccarico.,完璧に整理整頓する暇なんて誰にあるのでしょう？動きが阻害されることなく、アイテムを3つ多く運べる。,자기들 물건을 완벽히 정리할 수 있는 시간을 누가 가졌겠어요? 방해받지 않고 3개 더 많은 아이템을 소지할 수 있습니다.,Kto niby ma czas na porządki? Noś trzy dodatkowe przedmioty bez przeciążenia.,Quem tem tempo para organizar as coisas perfeitamente? Carregue mais três itens sem ficar sobrecarregado.,У нормальных людей нет времени складывать свои вещи аккуратно. Вы можете нести еще три предмета без последствий.,Eşyalarını düzenli tutmaya kimin zamanı var ki? Yükün ağır gelmeden üç öğe daha fazla taşı.,谁有时间把自己的东西整理得完美无缺？负重不受影响，再携带三样东西。,誰有時間把他們他們的東西整理好？再帶三樣東西而不會負重。,
perkPackMuleRank2LongDesc,progression,perk Str,,,You know it's in there somewhere. Carry an additional three more items without being encumbered.\n\nYou can now craft: [4DFF00]Leather Trunk®[-].,,"Du weißt, dass es irgendwo da drin ist. Du kannst drei weitere Gegenstände tragen, bevor du überbelastet wirst.",Sabes que está en alguna parte. Lleva otros tres artículos más sin desbordarte.,Vous savez bien que ça doit se trouver quelque part là-dedans. Vous portez à nouveau trois objets supplémentaires sans souffrir d'encombrement.,Sai che è lì da qualche parte. Trasporta altri 3 oggetti in più senza diventare sovraccarico.,中に入っていることは分かってるんです。動きが阻害されることなく、アイテムをさらに3つ多く運べる。,저 안에 무언가 있다는 걸 알고 있겠죠. 방해받지 않고 추가로 3개 더 많은 아이템을 소지할 수 있습니다.,Przed chwilą mignęło mi przed oczami! Możesz nosić dodatkowo trzy przedmioty bez przeciążenia.,Você sabe que está em algum lugar aí dentro. Carregue mais três itens sem ficar sobrecarregado.,"Вы знаете, что эта штука где-то здесь. Вы можете нести три дополнительных предмета без последствий.",Şurada bir yerde olduğundan eminsin. Yükün ağır gelmeden üç öğe daha taşı.,你知道它就在某个地方。负重不受影响，再携带额外三样东西。,你知道它就在某個地方。再帶三樣東西而不會負重。,
perkPackMuleRank3LongDesc,progression,perk Str,,,You know exactly where everything is. Carry four additional items without being encumbered.\n\nYou can now craft: [4DFF00]Reinforced Chest®[-] and [4DFF00]Sturdy Storage Container®[-].,,"Du weißt genau, wo du was findest. Du kannst vier Gegenstände mehr tragen, bevor du überbelastet wirst.",Sabes exactamente dónde está todo. Lleve cuatro artículos adicionales sin ser gravados.,Vous savez où chaque chose est rangée. Vous portez quatre objets supplémentaires sans souffrir d'encombrement.,Sai esattamente dove si trova ogni cosa. Trasporta 4 oggetti in più senza diventare sovraccarico.,何がどこにあるのかちゃんと把握しています。動きが阻害されることなく、アイテムをさらに4つ多く運べる。,어디에 무엇이 있는지 정확히 알고 계시군요. 방해받지 않고 추가로 4개 더 많은 아이템을 소지할 수 있습니다.,"Doskonale wiesz, gdzie co jest. Noś cztery dodatkowe przedmioty bez przeciążenia.",Você sabe exatamente onde tudo está. Carregue mais quatro itens sem ficar sobrecarregado.,"Вы отлично знаете, что где лежит. Вы можете нести четыре дополнительных предмета без последствий.",Her şeyin yerini iyi biliyorsun. Yükün ağır gelmeden ek dört öğe taşı.,你知道所有东西的确切位置。负重不受影响，再携带额外四样东西。,你準確知道東西在哪裏。再帶四樣東西而不會負重。,
perkPackMuleRank4LongDesc,progression,perk Str,,,"You just passed inspection, private. Carry four more items without being encumbered.\n\nYou can now craft: [4DFF00]Small Hardened Chest®[-]",,"Inspektion bestanden, Soldat.  Du kannst vier weitere Gegenstände tragen, bevor du überbelastet wirst.",Acabas de pasar la inspección en privado.  Lleva cuatro artículos más sin desbordarte.,Vous venez juste de réussir votre inspection privée.  Vous portez quatre objets supplémentaires sans souffrir d'encombrement.,"Hai passato l'ispezione, soldato.  Trasporta altri 4 oggetti senza diventare sovraccarico.",荷物点検に合格しました。動きが阻害されることなく、アイテムを4つ多く運べる。,방금 개인 검사를 통과했습니다.  방해받지 않고 4개 더 많은 아이템을 소지할 수 있습니다.,"Kontrola przeszła pozytywnie, żołnierzu.  Noś kolejne cztery przedmioty bez przeciążenia.",Tudo em ordem.  Carregue mais quatro itens sem ficar sobrecarregado.,"Вы только что прошли проверку, рядовой.  Вы можете нести еще четыре предмета без последствий.",Denetimi başarıyla geçtin asker.  Yükün ağır gelmeden dört öğe daha fazla taşı.,你刚刚通过了私人检查。负重不受影响，再携带四样东西。,你剛通過私人檢查。再帶四樣東西而不會負重。,
perkPackMuleRank5LongDesc,progression,perk Str,,,"Now you are just showing off, you are either part mule or a strongman. Carry four more items without being encumbered.\n\nYou can now craft the most badassed container in the game: [4DFF00]Large Hardened Chest®[-].",,"Jetzt gibst du aber an. Du bist entweder halb Esel oder wirklich, wirklich stark. Du kannst vier weitere Gegenstände tragen, bevor du überbelastet wirst.","Ahora solo estás presumiendo, eres parte mula o un hombre fuerte. Lleva cuatro artículos más sin desbordarte.","C'est bon, on a compris : soit vous êtes à moitié mule, soit vous êtes très fort. Vous portez quatre objets supplémentaires sans souffrir d'encombrement.",Ora ti stai dando le arie: o sei un mulo da soma oppure un bodybuilder. Trasporta altri 4 oggetti senza diventare sovraccarico.,ここまで来たらもう自慢。一部ラバか強い人間なのでしょう。動きが阻害されることなく、アイテムを4つ多く運べる。,당신이 노새거나 힘 센 사람이라는 걸 과시하고 계시네요. 방해받지 않고 4개 더 많은 아이템을 소지할 수 있습니다.,"Weź się nie popisuj! Albo płynie w tobie krew muła, albo strongmana. Noś kolejne cztery przedmioty bez przeciążenia.","Não precisa ficar se gabando, você deve ser metade mula ou metade músculos. Carregue mais quatro itens sem ficar sobrecarregado.","Теперь вы просто хвастаетесь. Вы либо наполовину мул, либо цирковой силач. Вы можете нести еще четыре предмета без последствий.",Bu yaptığına hava atmak denir. Ya çok güçlüsün ya da biraz katırlık var. Yükün ağır gelmeden dört öğe daha fazla taşı.,现在你就是在炫耀，你要么是半头骡子，要么是一个强人。负重不受影响，再携带四样东西。,你現在不過是在表現自己，你是一個騾半獸人或強人。再帶四樣東西而不會負重。,
